head,type,tail,meta
multi-hop question,uses,source of the news,"{'spans': [[47, 97]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
source of the news,subclass of,news articles,"{'spans': [[47, 97]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
source of the news,subclass of,news,"{'spans': [[47, 97]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Null Query Generation,subclass of,Prompting,"{'spans': [[94, 144]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Null Query Generation,use,Prompting,"{'spans': [[94, 144]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Null Query Generation,instance of,Prompting,"{'spans': [[94, 144]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Voice replication,facet of,AI,"{'spans': [[141, 191]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
AI,studies,AI-driven voice replication,"{'spans': [[141, 191]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
AI-driven voice replication,studied by,AI,"{'spans': [[141, 191]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
AI,has effect,AI-driven voice replication,"{'spans': [[141, 191]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Sony Music,subsidiary,Music Business Worldwide,"{'spans': [[188, 238]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Music Business Worldwide,parent organization,Sony Music,"{'spans': [[188, 238]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
YouTube Evidence List,part of,YouTube,"{'spans': [[188, 238]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
YouTube Evidence List,owned by,YouTube,"{'spans': [[188, 238]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
YouTube,instance of,rightsholder,"{'spans': [[235, 285]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
Google,subsidiary,YouTube,"{'spans': [[235, 285]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
YouTube,owned by,Google,"{'spans': [[235, 285]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
YouTube demonetizes,facet of,YouTube,"{'spans': [[0, 50]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
SSSniperwolf,employer,YouTube,"{'spans': [[0, 50]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
SSSniperwolf,significant event,YouTube demonetizes popular content creator,"{'spans': [[0, 50]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
recent incident,location,YouTube,"{'spans': [[45, 95]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
recent incident,facet of,YouTube,"{'spans': [[45, 95]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
recent incident,platform,YouTube,"{'spans': [[45, 95]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Fact,subclass of,information,"{'spans': [[90, 140]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Fact,published in,Source: FOX News - Health,"{'spans': [[90, 140]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Fact,publisher,Source: FOX News - Health,"{'spans': [[90, 140]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
YouTube,instance of,app,"{'spans': [[135, 185]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Cnbc,owner of,World Business News Leader,"{'spans': [[135, 185], [225, 275]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
World Business News Leader,owned by,Cnbc,"{'spans': [[135, 185], [225, 275]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Cnbc,subsidiary,World Business News Leader,"{'spans': [[135, 185]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
10-year Treasury yield,length,10,"{'spans': [[180, 230]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
10-year Treasury yield,point in time,10,"{'spans': [[180, 230]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
10-year Treasury yield,number of participants,10,"{'spans': [[180, 230]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
two years,point in time,two years,"{'spans': [[225, 275]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
Cnbc | World Business News Leader,owned by,Cnbc,"{'spans': [[225, 275]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
year earlier,instance of,net income,"{'spans': [[270, 320]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
revenue,has part,net income,"{'spans': [[270, 320]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
revenue,part of,net income,"{'spans': [[270, 320]], 'source': 'ffdc9574a6ef468b9d8c54a20b4aa65c'}"
ASX set to open higher as Wall Street rebounds; $A rises,part of,ASX,"{'spans': [[0, 50]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
ASX set to open higher,part of,ASX,"{'spans': [[0, 50]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
ASX set to open higher as Wall Street rebounds; $A rises,part of,ASX set to open higher as Wall Street rebounds; $A rises,"{'spans': [[0, 50]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
2007,point in time,2007,"{'spans': [[46, 96], [88, 138]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
,part of,bond market,"{'spans': [[46, 96]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
bond market <subj>-year Treasury,has part,bond market,"{'spans': [[46, 96]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Joshua Dobbs,member of sports team,Chicago Bears,"{'spans': [[92, 142]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Joshua Dobbs,member of sports team,Chicago Bears’,"{'spans': [[92, 142]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Chicago Bears,member of,NFL,"{'spans': [[92, 142]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Bears vs. Vikings,point in time,2023-11-2727,"{'spans': [[138, 188]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
’Monday Night Football’ game,point in time,2023-11-2727,"{'spans': [[138, 188]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
’Monday Night Football’ game? Answer: Yes Evidence List,publication date,2023-11-2727,"{'spans': [[138, 188]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Sweat,member of sports team,Bears,"{'spans': [[184, 234]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Brisker,member of sports team,Bears,"{'spans': [[184, 234]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Bears,member of,NFC,"{'spans': [[184, 234]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
NFC,has part,Bears,"{'spans': [[184, 234]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
NFC,has part,NFC,"{'spans': [[230, 280]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
NFC,part of,NFC,"{'spans': [[230, 280]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
Buns burning for these four head coaches,publisher,Yardbarker,"{'spans': [[230, 280]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
defense,opposite of,offense,"{'spans': [[276, 326]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
offense,opposite of,defense,"{'spans': [[276, 326]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
points per game,part of,offense,"{'spans': [[276, 326]], 'source': '1511a64ef8b64031ac5274784c24a934'}"
TomTom,publisher,Bloomberg,"{'spans': [[0, 50]], 'source': '102491e62497444ab365bbaf13adbbdc'}"
TomTom,owned by,Bloomberg,"{'spans': [[0, 50]], 'source': '102491e62497444ab365bbaf13adbbdc'}"
Bloomberg,subsidiary,Reuters,"{'spans': [[31, 81]], 'source': '102491e62497444ab365bbaf13adbbdc'}"
Reuters,parent organization,Bloomberg,"{'spans': [[31, 81]], 'source': '102491e62497444ab365bbaf13adbbdc'}"
TomTom,publisher,Reuters,"{'spans': [[31, 81]], 'source': '102491e62497444ab365bbaf13adbbdc'}"
Sumit Soman,spouse,Sujoy Roychowdhury,"{'spans': [[46, 96]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
Sujoy Roychowdhury,spouse,Sumit Soman,"{'spans': [[46, 96]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
ICLR,publication date,ICLR 2024,"{'spans': [[46, 96]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
chal- lenges,use,embed,"{'spans': [[92, 142]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
chal- lenge,use,embed,"{'spans': [[92, 142]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
chal- lenge,subclass of,embed,"{'spans': [[92, 142]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
prior art,subclass of,technical documents,"{'spans': [[138, 188]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
prior art,subclass of,technical document,"{'spans': [[138, 188]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
prior art,facet of,technical documents,"{'spans': [[138, 188]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
Large Lan- guage Model,use,Long form Question Answering,"{'spans': [[184, 234]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
Long form Question Answering,uses,Large Lan- guage Model,"{'spans': [[184, 234]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
Long form Question Answering,based on,Large Lan- guage Model,"{'spans': [[184, 234]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
in-context document,subclass of,retrieval,"{'spans': [[230, 280]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
LLMs,use,retrieval,"{'spans': [[230, 280]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
LLMs,use,in-context documents,"{'spans': [[230, 280]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
telecom,instance of,terminology,"{'spans': [[276, 326]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
telecom,has part,battery,"{'spans': [[276, 326]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
telecom,different from,battery,"{'spans': [[276, 326]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
battery,different from,telecom,"{'spans': [[276, 326]], 'source': '2cabbb0bc54d4c5bab455f81185d79b5'}"
Medium Access Control,part of,IEEE Wireless LAN,"{'spans': [[0, 50]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Medium Access Control,subclass of,IEEE Wireless LAN,"{'spans': [[0, 50]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Physical Layer,part of,IEEE Wireless LAN,"{'spans': [[0, 50]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Battery Ter- minology,publication date,1881,"{'spans': [[45, 95]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Battery Ter- minology 1881-2016,publication date,1881,"{'spans': [[45, 95]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Battery Ter- minology 1881-2016 (2016),publication date,1881,"{'spans': [[45, 95]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
MPNET,instance of,embedding model,"{'spans': [[90, 140]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
MPNET,use,Mul- tiple embedding,"{'spans': [[90, 140]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
MPNET,uses,Mul- tiple embedding,"{'spans': [[90, 140]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
embeddings,part of,glossary,"{'spans': [[135, 185]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
glossary,has part,embeddings,"{'spans': [[135, 185]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
glossary,uses,embeddings,"{'spans': [[135, 185]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
free,instance of,definition,"{'spans': [[180, 230]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
free,subclass of,definition,"{'spans': [[180, 230]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
llama2-7b-chat,instance of,LLMs,"{'spans': [[180, 230]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
free,opposite of,commercial- friendly license,"{'spans': [[225, 275]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
free,different from,commercial- friendly license,"{'spans': [[225, 275]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
commercial- friendly license,different from,free,"{'spans': [[225, 275]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
OBSER,instance of,free,"{'spans': [[225, 275]], 'source': 'a4c32137915b459383c9a9c762656f98'}"
Kernel Density Estimate,instance of,plot,"{'spans': [[0, 50]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Kernel Density Estimate,facet of,OBSERVATIONS,"{'spans': [[0, 50]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Kernel Density Estimate,instance of,OBSERVATIONS,"{'spans': [[0, 50]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
spurious similarities,subclass of,similarity,"{'spans': [[48, 98]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
spurious similarity,subclass of,similarity,"{'spans': [[48, 98]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
spurious similarity,subclass of,similarity distribution,"{'spans': [[48, 98]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
bimodal,subclass of,similarity distribution,"{'spans': [[96, 146]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
bimodal,facet of,similarity distribution,"{'spans': [[96, 146]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
bimodal,part of,similarity distribution,"{'spans': [[96, 146]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
similarity scores,facet of,similarity,"{'spans': [[144, 194]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
H1,instance of,similarity scores,"{'spans': [[144, 194]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
similarity scores,facet of,similarities,"{'spans': [[144, 194]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Global AI Accelerator,operator,Ericsson,"{'spans': [[192, 242]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Global AI Accelerator,parent organization,Ericsson,"{'spans': [[192, 242]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Ericsson,subsidiary,Global AI Accelerator,"{'spans': [[192, 242]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Bangalore,country,India,"{'spans': [[240, 290]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
ICLR,country,India,"{'spans': [[240, 290]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
India,capital,Bangalore,"{'spans': [[240, 290]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
subjugated,facet of,subjugated,"{'spans': [[288, 338], [86, 136], [184, 234], [480, 530], [294, 344], [392, 442], [735, 785], [384, 434], [528, 578], [98, 148]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
H4,followed by,H5,"{'spans': [[288, 338]], 'source': 'e7e33e9671c144ac81afb5b39d9b3677'}"
Sentence Based Similarity,instance of,Similarity Score,"{'spans': [[0, 50]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Sentence Based Similarity,instance of,Similarity score,"{'spans': [[0, 50]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Sentence Based Similarity,instance of,Similarity scores,"{'spans': [[0, 50]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
acronyms,different from,acronyms,"{'spans': [[47, 97]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
acronyms,has part,acronyms,"{'spans': [[47, 97], [0, 50]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
sen- tence,different from,sen- tence,"{'spans': [[94, 144]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
parable,use,parable,"{'spans': [[94, 144]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Similarity based on sentence and distinct paragraphs retrieved,subclass of,retrieval,"{'spans': [[141, 191]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Similarity based on sentence and distinct paragraphs retrieved,uses,Similarity based on sentence and distinct paragraphs retrieved,"{'spans': [[141, 191]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Similarity based on sentence and distinct paragraphs retrieved,subclass of,Similarity based on sentence and distinct paragraphs retrieved,"{'spans': [[141, 191]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Support (Samples),subclass of,Samples,"{'spans': [[188, 238]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Support (Samples),number of participants,22,"{'spans': [[188, 238]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
Support (Samples),number of participants,24,"{'spans': [[188, 238]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
ID F1,has part,Ta- ble,"{'spans': [[235, 285]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
ID F1,followed by,ID F2,"{'spans': [[235, 285]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
ID F2,follows,ID F1,"{'spans': [[235, 285]], 'source': '1419b6c21ec94da7bb78d281a4d107ff'}"
acronyms,part of,acronyms,"{'spans': [[0, 50]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
acronyms,uses,acronyms,"{'spans': [[0, 50]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
H7,instance of,distributions of similarity scores,"{'spans': [[49, 99]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
H7,author,Chen et al. (2023a),"{'spans': [[49, 99]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
H7,named after,Chen et al. (2023a),"{'spans': [[49, 99]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
thresholding,facet of,retrieval,"{'spans': [[98, 148]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
thresholding,subclass of,retrieval,"{'spans': [[98, 148], [196, 246]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
thresholding,facet of,retrieval by thresholding,"{'spans': [[98, 148]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
definition embedding,facet of,definition,"{'spans': [[147, 197]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
definition embedding,facet of,term,"{'spans': [[147, 197]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
definition embedding,part of,term,"{'spans': [[147, 197]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
thresholding,subclass of,augmentation,"{'spans': [[196, 246]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
thresholding,instance of,augmentation,"{'spans': [[196, 246]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
expansions,subclass of,acronyms,"{'spans': [[245, 295]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
expansions,facet of,acronyms,"{'spans': [[245, 295]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
expansion,subclass of,acronyms,"{'spans': [[245, 295]], 'source': 'b69451c3e9e548868144ed1c6a8fca23'}"
similarity search,subclass of,retrieval,"{'spans': [[0, 50]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
sepa-rately,instance of,similarity search,"{'spans': [[0, 50]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
sepa-rately,subclass of,similarity search,"{'spans': [[0, 50]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
paragraphs,part of,sentence,"{'spans': [[49, 99]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
sentence,part of,paragraphs,"{'spans': [[49, 99]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
paragraphs,has part,sentence,"{'spans': [[49, 99]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
permuting,subclass of,retrieval,"{'spans': [[98, 148]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
permuting,subclass of,permuting,"{'spans': [[98, 148]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
long form Q,use,QA,"{'spans': [[98, 148]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
threshold- ing,subclass of,generator augmentation,"{'spans': [[147, 197]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
threshold- ing,subclass of,retriever embeddings,"{'spans': [[147, 197]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
threshold- ing retriever,subclass of,retriever embeddings,"{'spans': [[147, 197]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
abbreviations,part of,paragraphs,"{'spans': [[196, 246]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
paragraphs,part of,technical document,"{'spans': [[196, 246]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
technical document,has part,paragraphs,"{'spans': [[196, 246]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
Tiny Paper,publisher,ICLR,"{'spans': [[245, 295]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
ICLR,has part,Tiny Paper,"{'spans': [[245, 295]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
ICLR,owner of,Tiny Paper,"{'spans': [[245, 295]], 'source': 'a5495a46cd6b4e149a7ce587cae5d15d'}"
ICLR 2024,point in time,2024,"{'spans': [[0, 50]], 'source': '02d33a7673984649b5280cee85093b04'}"
IEEE Std 1881-2016,main subject,IEEE 1881-2016,"{'spans': [[47, 97]], 'source': '02d33a7673984649b5280cee85093b04'}"
IEEE 1881-2016,has part,IEEE Std 1881-2016,"{'spans': [[47, 97]], 'source': '02d33a7673984649b5280cee85093b04'}"
IEEE Std 1881-2016,part of,IEEE 1881-2016,"{'spans': [[47, 97]], 'source': '02d33a7673984649b5280cee85093b04'}"
IEEE standard glossary of stationary battery terminology,part of,IEEE Std 1881-2016,"{'spans': [[47, 97]], 'source': '02d33a7673984649b5280cee85093b04'}"
Awakens,part of,Awakens,"{'spans': [[94, 144]], 'source': '02d33a7673984649b5280cee85093b04'}"
Awakens,has part,Awakens,"{'spans': [[94, 144]], 'source': '02d33a7673984649b5280cee85093b04'}"
arXiv preprint,published in,arXiv,"{'spans': [[141, 191]], 'source': '02d33a7673984649b5280cee85093b04'}"
